Player,GP-GS,MIN/G,FG%,3FG%,FT%,R/G,A/G,STL,BLK,PTS/G
"AKAMETU, Kosy",44-1,7.8,0.376,0.185,0.659,1.4,0.3,5,1,2.4
"BAL, Adama",100-51,19.2,0.429,0.363,0.792,1.9,1.8,46,11,8.3
"BRYAN, Tyeree",81-47,27.8,0.451,0.405,0.716,4.5,1.2,49,31,9.7
"DOUYON, Malachi",6-0,1.3,0.0,0.0,0.0,0.5,0.0,0,0,0.0
"ENSMINGER, Jake",54-18,19.3,0.386,0.224,0.702,5.2,1.8,26,7,3.4
"KNAPPER, Brenton",73-17,15.2,0.393,0.338,0.702,1.6,1.4,32,6,4.3
"MAHI, Elijah",19-8,23.5,0.497,0.415,0.643,4.1,2.1,10,5,11.6
"MCELDON, Luke",14-0,5.2,0.625,0.0,0.6,1.4,0.4,2,3,1.6
"O'NEIL, Johnny",124-102,27.2,0.429,0.368,0.639,5.6,1.4,98,139,9.7
"OBOYE, Bukky",18-0,3.7,0.333,0.25,0.667,1.0,0.0,2,3,0.7
"STEWART, Carlos",100-64,23.5,0.438,0.368,0.809,2.2,1.8,131,8,9.9
"TILLY, Christoph",75-48,18.4,0.557,0.34,0.707,4.0,1.4,41,48,8.9
"TONGUE, Camaron",103-1,10.9,0.486,0.309,0.592,2.8,0.4,19,20,4.3
"YARUSSO, Brendan",6-0,1.8,0.0,0.0,0.5,0.0,0.2,0,0,0.2
